id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro
27,10,2026,BIG BAG N° 1,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0,0.0333,0,0.1,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
28,10,2026,BIG BAG N° 2,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.03,0,0.0633,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
29,10,2026,BIG BAG N° 3,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0366,0,0.1066,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
30,10,2026,BIG BAG N° 4,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.03,0,0.1133,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
31,10,2026,BIG BAG N° 6,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0333,0,0.0866,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
32,10,2026,BIG BAG N° 7,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.05,0,0.1,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
33,10,2026,BIG BAG N° 8,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.0433,0,0.1033,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
34,10,2026,BIG BAG N° 9,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0433,0,0.1133,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
35,10,2026,BIG BAG N° 10,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.04,0,0.1266,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
36,12,2026,BIG BAG N° 1,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0466,0,0.1433,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
37,12,2026,BIG BAG N° 2,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0,0.03,0,0.13,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
38,12,2026,BIG BAG N° 3,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.02,0,0.0566,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
39,12,2026,BIG BAG N° 4,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.0133,0,0.0533,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
40,12,2026,BIG BAG N° 5,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,962,0,Vignanello,0,0,0,0,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
41,7,2026,BIG BAG N° 15,S103/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1233,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
42,7,2026,BIG BAG N° 16,S103/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.04,0,0.1633,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
43,10,2026,BIG BAG N° 1,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.03,0,0.1266,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
44,10,2026,BIG BAG N° 2,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0266,0,0.07,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
45,10,2026,BIG BAG N° 3,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.05,0,0.1166,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
2,43,2025,BIG BAG N° 4,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.04,0,0.13,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-24T21:28:24.471881+00:00,0,,2025,false
46,10,2026,BIG BAG N° 4,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.03,0,0.1166,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
47,10,2026,BIG BAG N° 5,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0433,0,0.11,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
48,10,2026,BIG BAG N° 7,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.02,0,0.1033,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
49,10,2026,BIG BAG N° 8,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.04,0,0.09,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
50,10,2026,BIG BAG N° 9,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0466,0,0.0666,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
