id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre
25,7,2025,BIG BAG N° 12,S103/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.0333,0,0.1033,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
26,7,2025,BIG BAG N° 13,S103/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.04,0,0.1366,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
27,10,2025,BIG BAG N° 1,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0,0.0333,0,0.1,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
28,10,2025,BIG BAG N° 2,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.03,0,0.0633,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
29,10,2025,BIG BAG N° 3,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0366,0,0.1066,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
30,10,2025,BIG BAG N° 4,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.03,0,0.1133,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
31,10,2025,BIG BAG N° 6,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0333,0,0.0866,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
32,10,2025,BIG BAG N° 7,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.05,0,0.1,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
33,10,2025,BIG BAG N° 8,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.0433,0,0.1033,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
34,10,2025,BIG BAG N° 9,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.002,0.0433,0,0.1133,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
35,10,2025,BIG BAG N° 10,S104/2025,FAIR FOR LIFE,SGUSCIATE,11/13,1000,0,Vignanello,0.001,0.04,0,0.1266,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
