id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro,intragruppo,partner_id
27,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,940,0,Vignanello,0.284,0,0,0,0.158,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
28,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,746,0,Vignanello,0.012,0,0,0,0.008,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
29,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,11/13,665,0,Vignanello,0.365,0.22,0,0.18,0.005,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
30,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,13/15,653,0,Vignanello,0.329,0.25,0,0.23,0.019,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
31,16,2026,BIG BAG N° 1,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.015,0,0.035,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
32,16,2026,BIG BAG N° 2,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.005,0,0.045,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
33,17,2026,BIG BAG N° 3,SO04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.001,0.005,0,0.02,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
34,24,2026,BIG BAG N° 1,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.008,0.0433,0,0.0666,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
35,24,2026,BIG BAG N° 2,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.012,0.04,0,0.0233,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
36,24,2026,BIG BAG N° 3,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.013,0.04,0,0.0433,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
37,24,2026,BIG BAG N° 4,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.01,0.0266,0,0.0466,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
38,24,2026,BIG BAG N° 5,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.018,0.0333,0,0.0566,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
39,24,2026,BIG BAG N° 6,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.013,0.0466,0,0.0433,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
40,24,2026,BIG BAG N° 7,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.01,0.04,0,0.0533,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
41,29,2026,BIG BAG N° 1,SO072026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.028,0.04,0,0.0733,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
42,29,2026,BIG BAG N° 2,SO072026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.015,0.0266,0,0.0366,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
43,29,2026,BIG BAG N° 3,SO072026,CONVENZIONALI,SGUSCIATE,9/11,1046,0,Fabbrica,0.016,0.0166,0,0.0466,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
44,17,2026,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.007,0.0166,0,0.0066,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0.036,,2025,false,false,
45,17,2026,BIG 6,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,429,0,Fabbrica,0.006,0.02,0,0.0166,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0.043,,2025,false,false,
46,21,2026,BIG 7,FA05/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.012,0.04,0,0.0666,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0.065,,2025,false,false,
47,25,2026,BIG 8,FA06/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.009,0.0233,0,0.04,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0.077,,2025,false,false,
48,25,2026,BIG 9,FA06/2026,CONVENZIONALI,SGUSCIATE,9/11,1060,0,Fabbrica,0.011,0.0366,0,0.0533,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0.04,,2025,false,false,
49,20,2026,BIG 3,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,635,0,Fabbrica,0.024,0.06,0,0.13,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
50,43,2025,BIG 8,FA10/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.118,0.08,0,0.0633,0.2,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0.018,,2025,false,false,
51,45,2025,BIG 3,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0366,0,0.0333,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.009,,2025,false,false,
52,45,2025,BIG 5,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.04,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.009,,2025,false,false,
53,48,2025,BIG 6,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.04,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.008,,2025,false,false,
54,48,2025,BIG 7,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.06,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.005,,2025,false,false,
55,48,2025,BIG 8,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0333,0,0.02,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.009,,2025,false,false,
56,49,2025,BIG 9,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.002,0.04,0,0.04,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.015,,2025,false,false,
57,49,2025,BIG 11,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.06,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0.013,,2025,false,false,
